sales_month,country,country_rank,country_revenue,country_share_pct,country_growth_mom_pct,global_company_net_profit,global_profit_growth_mom_pct
2020-11-01,United States,1,4290877.3,43.35,,7717192.03,
2020-11-01,India,2,873895.8,8.83,,7717192.03,
2020-11-01,Canada,3,741302.7,7.49,,7717192.03,
2020-11-01,United Kingdom,4,286810.0,2.9,,7717192.03,
2020-11-01,France,5,227985.4,2.3,,7717192.03,
2020-11-01,Spain,6,218690.8,2.21,,7717192.03,
2020-11-01,China,7,181669.7,1.84,,7717192.03,
2020-11-01,Taiwan,8,156882.6,1.59,,7717192.03,
2020-11-01,South Korea,9,150767.4,1.52,,7717192.03,
2020-11-01,Italy,10,145752.8,1.47,,7717192.03,
2020-12-01,United States,1,5386580.8,43.36,25.54,9729513.04,26.08
2020-12-01,India,2,1068745.6,8.6,22.3,9729513.04,26.08
2020-12-01,Canada,3,982674.4,7.91,32.56,9729513.04,26.08
2020-12-01,United Kingdom,4,356120.5,2.87,24.17,9729513.04,26.08
2020-12-01,France,5,288567.9,2.32,26.57,9729513.04,26.08
2020-12-01,Germany,6,263290.5,2.12,96.85,9729513.04,26.08
2020-12-01,Spain,7,247963.5,2.0,13.39,9729513.04,26.08
2020-12-01,China,8,231492.3,1.86,27.42,9729513.04,26.08
2020-12-01,Taiwan,9,216786.1,1.74,38.18,9729513.04,26.08
2020-12-01,Singapore,10,176913.5,1.42,24.67,9729513.04,26.08
2021-01-01,United States,1,4266095.8,44.2,-20.8,7337670.72,-24.58
2021-01-01,India,2,867120.6,8.98,-18.87,7337670.72,-24.58
2021-01-01,Canada,3,713943.9,7.4,-27.35,7337670.72,-24.58
2021-01-01,United Kingdom,4,295387.4,3.06,-17.05,7337670.72,-24.58
2021-01-01,Germany,5,202177.9,2.09,-23.21,7337670.72,-24.58
2021-01-01,France,6,194139.5,2.01,-32.72,7337670.72,-24.58
2021-01-01,Taiwan,7,179041.6,1.86,-17.41,7337670.72,-24.58
2021-01-01,China,8,175167.6,1.82,-24.33,7337670.72,-24.58
2021-01-01,Spain,9,164892.4,1.71,-33.5,7337670.72,-24.58
2021-01-01,Singapore,10,137633.3,1.43,-22.2,7337670.72,-24.58
