date,actual_revenue,predicted_revenue
2020-11-01,244292.5,351952.02
2020-11-02,355506.8,547192.038
2020-11-03,498979.60000000003,737844.352
2020-11-04,339187.1,472059.162
2020-11-05,391276.6,574365.168
2020-11-06,322642.20000000007,462351.924
2020-11-07,200892.2,309265.264
2020-11-08,221162.5,312472.41
2020-11-09,302049.5,477899.055
2020-11-10,343471.8,542022.6
2020-11-11,343940.99999999994,468824.527
2020-11-12,314070.1,415702.971
2020-11-13,282575.39999999997,424961.724
2020-11-14,214889.3,325750.368
2020-11-15,209535.5,328582.977
2020-11-16,296972.1,413728.443
2020-11-17,404954.6,534532.544
2020-11-18,405328.1000000001,620094.393
2020-11-19,342204.4,519518.416
2020-11-20,400420.5,574253.368
2020-11-21,325970.7,531850.704
2020-11-22,239063.69999999998,355077.135
2020-11-23,346571.8,509006.02
2020-11-24,305073.4,457326.707
2020-11-25,420232.10000000003,590620.38
2020-11-26,424028.10000000003,643693.704
2020-11-27,407338.50000000006,585952.95
2020-11-28,343354.70000000007,470904.361
2020-11-29,271602.0,370395.66
2020-11-30,379928.2,587431.647
2020-12-01,473346.8,705151.302
2020-12-02,434562.5,681113.4
2020-12-03,460950.2,725368.696
2020-12-04,503979.8,833778.102
2020-12-05,295936.1,449244.957
2020-12-06,316619.5,492124.675
2020-12-07,452423.30000000005,720330.139
2020-12-08,680509.5,935075.372
2020-12-09,551811.6000000001,840810.888
2020-12-10,624104.6,885663.113
2020-12-11,524993.2,821636.899
2020-12-12,386358.10000000003,548393.922
2020-12-13,330044.30000000005,521217.462
2020-12-14,472654.7,631563.302
2020-12-15,531546.9,836924.592
2020-12-16,553134.9,727923.564
2020-12-17,549046.8,898604.25
2020-12-18,399290.10000000003,641725.99
2020-12-19,354714.0,524087.28
2020-12-20,285750.80000000005,437952.256
2020-12-21,353726.9,485904.195
2020-12-22,340852.8,490120.506
2020-12-23,308985.69999999995,440171.332
2020-12-24,256319.19999999998,385014.784
2020-12-25,263346.4,420958.566
2020-12-26,258976.0,369680.48
2020-12-27,254142.3,360086.249
2020-12-28,302470.7,450042.156
2020-12-29,250281.9,377407.347
2020-12-30,308423.5,459648.2
2020-12-31,344136.2,485727.091
2021-01-01,217984.9,339649.899
2021-01-02,247516.40000000002,353685.271
2021-01-03,285519.6,398722.346
2021-01-04,347103.7,544612.998
2021-01-05,464544.7,781677.655
2021-01-06,609763.8,923622.264
2021-01-07,387163.69999999995,597220.471
2021-01-08,436356.00000000006,667272.345
2021-01-09,295324.4,430431.444
2021-01-10,229321.4,368580.352
2021-01-11,364010.1,518239.453
2021-01-12,421850.0,610258.45
2021-01-13,465344.6999999999,649717.749
2021-01-14,433532.5,646388.925
2021-01-15,379524.9,601215.285
2021-01-16,263453.5,351287.165
2021-01-17,342515.7,501035.613
2021-01-18,357783.30000000005,482387.413
2021-01-19,370046.6,585079.712
2021-01-20,439487.2,662916.253
2021-01-21,410103.2,638973.306
2021-01-22,384615.30000000005,610245.545
2021-01-23,290605.5,418842.855
2021-01-24,243818.4,365542.291
2021-01-25,305089.3,442304.081
2021-01-26,372057.3,569533.23
2021-01-27,286340.7,426183.012
